grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2004,2.982
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2004,2.740
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2003,2.382
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2003,2.109
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2002,1.781
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2002,1.536
De 15 a 19 anios,De Africa,1 de julio de 2022,30.406
De 15 a 19 anios,De Africa,1 de enero de 2022,30.187
De 15 a 19 anios,De Africa,1 de julio de 2021,29.191
De 15 a 19 anios,De Africa,1 de enero de 2021,28.576
De 15 a 19 anios,De Africa,1 de julio de 2020,27.674
De 15 a 19 anios,De Africa,1 de enero de 2020,26.798
De 15 a 19 anios,De Africa,1 de julio de 2019,25.318
De 15 a 19 anios,De Africa,1 de enero de 2019,24.170
De 15 a 19 anios,De Africa,1 de julio de 2018,23.239
De 15 a 19 anios,De Africa,1 de enero de 2018,22.541
De 15 a 19 anios,De Africa,1 de julio de 2017,21.918
De 15 a 19 anios,De Africa,1 de enero de 2017,21.609
De 15 a 19 anios,De Africa,1 de julio de 2016,21.367
De 15 a 19 anios,De Africa,1 de enero de 2016,21.513
De 15 a 19 anios,De Africa,1 de julio de 2015,21.492
De 15 a 19 anios,De Africa,1 de enero de 2015,21.574
De 15 a 19 anios,De Africa,1 de julio de 2014,21.753
De 15 a 19 anios,De Africa,1 de enero de 2014,22.006
De 15 a 19 anios,De Africa,1 de julio de 2013,22.322
De 15 a 19 anios,De Africa,1 de enero de 2013,22.506
De 15 a 19 anios,De Africa,1 de julio de 2012,22.412
De 15 a 19 anios,De Africa,1 de enero de 2012,22.452
De 15 a 19 anios,De Africa,1 de julio de 2011,22.256
De 15 a 19 anios,De Africa,1 de enero de 2011,22.154
De 15 a 19 anios,De Africa,1 de julio de 2010,22.451
De 15 a 19 anios,De Africa,1 de enero de 2010,22.589
De 15 a 19 anios,De Africa,1 de julio de 2009,22.803
De 15 a 19 anios,De Africa,1 de enero de 2009,22.271
De 15 a 19 anios,De Africa,1 de julio de 2008,21.696
De 15 a 19 anios,De Africa,1 de enero de 2008,20.856
De 15 a 19 anios,De Africa,1 de julio de 2007,20.172
De 15 a 19 anios,De Africa,1 de enero de 2007,19.696
De 15 a 19 anios,De Africa,1 de julio de 2006,19.001
De 15 a 19 anios,De Africa,1 de enero de 2006,18.457
De 15 a 19 anios,De Africa,1 de julio de 2005,17.614
De 15 a 19 anios,De Africa,1 de enero de 2005,16.704
De 15 a 19 anios,De Africa,1 de julio de 2004,15.709
De 15 a 19 anios,De Africa,1 de enero de 2004,14.732
De 15 a 19 anios,De Africa,1 de julio de 2003,13.600
De 15 a 19 anios,De Africa,1 de enero de 2003,12.398
De 15 a 19 anios,De Africa,1 de julio de 2002,11.191
De 15 a 19 anios,De Africa,1 de enero de 2002,10.159
